Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
2014-08-22,59108547,3,0.38885905035242235,10266002,5932099,23940387,13833696,24902158,14389445,0.0
2014-08-25,59767333,3,0.38885905035242235,10380420,5932099,24207211,13833696,25179701,14389445,0.0
2014-08-26,59971103,3,0.38885905035242235,10415811,5932099,24289743,13833696,25265549,14389445,0.0
2014-08-27,59977934,3,0.38885905035242235,10416998,5932099,24292510,13833696,25268427,14389445,0.0
2014-08-28,59733417,3,0.38885905035242235,10374530,5932099,24193475,13833696,25165413,14389445,-0.41
2014-08-29,60432950,3,0.38885905035242235,10496025,5932099,24476802,13833696,25460123,14389445,0.0
2014-09-02,60935545,3,0.38885905035242235,10583316,5932099,24680365,13833696,25671864,14389445,0.0
2014-09-03,59889609,3,0.38885905035242235,10401657,5932099,24256736,13833696,25231216,14389445,-1.72
2014-09-04,59699432,3,0.38885905035242235,10368627,5932099,24179710,13833696,25151095,14389445,-2.03
2014-09-05,60623127,3,0.38885905035242235,10529055,5932099,24553828,13833696,25540243,14389445,-0.51
2014-09-08,60928748,3,0.38885905035242235,10582135,5932099,24677612,13833696,25669000,14389445,-0.01
2014-09-09,59448152,3,0.38885905035242235,10324985,5932099,24077935,13833696,25045232,14389445,-2.44
2014-09-10,60826863,3,0.38885905035242235,10564440,5932099,24636346,13833696,25626076,14389445,-0.18
2014-09-11,60779319,3,0.38885905035242235,10556182,5932099,24617090,13833696,25606046,14389445,-0.26
2014-09-12,59821708,3,0.38885905035242235,10389864,5932099,24229235,13833696,25202609,14389445,-1.83
2014-09-15,58021898,3,0.38885905035242235,10077272,5932099,23500268,13833696,24444358,14389445,-4.78
2014-09-16,59590785,3,0.38885905035242235,10349757,5932099,24135705,13833696,25105322,14389445,-2.21
2014-09-17,59882812,3,0.38885905035242235,10400477,5932099,24253983,13833696,25228352,14389445,-1.73
2014-09-18,61173231,3,0.38885905035242235,10624597,5932099,24776634,13833696,25772000,14389445,0.0
2014-09-19,61037430,3,0.38885905035242235,10601011,5932099,24721631,13833696,25714787,14389445,-0.22
2014-09-22,59380218,3,0.38885905035242235,10313186,5932099,24050420,13833696,25016611,14389445,-2.93
2014-09-23,58864064,3,0.38885905035242235,10223540,5932099,23841365,13833696,24799158,14389445,-3.77
2014-09-24,60772556,3,0.38885905035242235,10555008,5932099,24614351,13833696,25603197,14389445,-0.65
2014-09-25,56914824,3,0.38885905035242235,9884995,5932099,23051876,13833696,23977953,14389445,-6.96
2014-09-26,58735025,3,0.38885905035242235,10201128,5932099,23789102,13833696,24744795,14389445,-3.99
